rho,c_switch,mi_composite,mi_decomp,mi_gap,oracle_cost,always_a_cost,always_b_cost,max_possible_gap,policy_gap,policy_gap_stderr,policy_gap_frac_of_max,hop2_burst_length
0.0,0.05,0.08627153460337733,0.11255751439483816,0.02628597979146083,0.03347970656794185,0.08,0.052038461538461665,0.018558754970519814,0.002731186666666656,0.0009807018721053197,0.1471643260016681,2.0
0.0,0.1,0.08627153460337733,0.11255751439483816,0.02628597979146083,0.03539592760180995,0.08,0.052038461538461665,0.016642533936651716,-0.00026167166666666436,0.0009740696124721817,-0.015723066431031094,2.0
0.0,0.2,0.08627153460337733,0.11255751439483816,0.02628597979146083,0.039228369669546154,0.08,0.052038461538461665,0.012810091868915512,0.0006977299999999936,0.00109040328300967,0.05446721281469332,2.0
0.18,0.05,0.0870831425544335,0.11246354374520268,0.025380401190769175,0.03291799060682378,0.08,0.051735644578638336,0.018817653971814556,0.0004702666666666702,0.0009579238499621822,0.024990717087849775,2.0
0.18,0.1,0.0870831425544335,0.11246354374520268,0.025380401190769175,0.034832101429372354,0.08,0.051735644578638336,0.01690354314926598,0.0015440083333333326,0.0009518100341826333,0.09134228958384856,2.0
0.18,0.2,0.0870831425544335,0.11246354374520268,0.025380401190769175,0.03866032307446949,0.08,0.051735644578638336,0.013075321504168846,0.0009010833333333371,0.0010893240235837188,0.06891481276739862,2.0
0.36,0.05,0.08798925141776007,0.11217960007971042,0.024190348661950356,0.03232486258788467,0.08,0.051396373262041585,0.019071510674156918,0.00015107666666668018,0.0009429471683148283,0.007921588868751675,2.0
0.36,0.1,0.08798925141776007,0.11217960007971042,0.024190348661950356,0.03423803473915712,0.08,0.051396373262041585,0.017158338522884467,0.0014012883333333268,0.0010308187368563062,0.0816680666058894,2.0
0.36,0.2,0.08798925141776007,0.11217960007971042,0.024190348661950356,0.03806437904170204,0.08,0.051396373262041585,0.013331994220339545,0.00026504499999999154,0.0010384302165489028,0.019880371654799688,2.0
0.54,0.05,0.08900733818578715,0.11168797075969372,0.022680632573906567,0.031693883270860534,0.08,0.05101364319033515,0.019319759919474613,0.0006075950000000094,0.0009229100909831535,0.03144940737009596,2.0
0.54,0.1,0.08900733818578715,0.11168797075969372,0.022680632573906567,0.03360749749966836,0.08,0.05101364319033515,0.017406145690666786,0.0014496083333333243,0.0009558562488449785,0.08328140871017801,2.0
0.54,0.2,0.08900733818578715,0.11168797075969372,0.022680632573906567,0.03743472595728402,0.08,0.05101364319033515,0.01357891723305113,0.0007494666666666705,0.001091669705998696,0.0551934041428919,2.0
0.72,0.05,0.090159456100188,0.11095364562392968,0.02079418952374168,0.03101685687223759,0.08000000000000003,0.050578532722800926,0.019561675850563336,0.0013294249999999952,0.0009130103306433115,0.06796069059500905,2.0
0.72,0.1,0.090159456100188,0.11095364562392968,0.02079418952374168,0.032932560637123874,0.08000000000000003,0.050578532722800926,0.01764597208567705,0.0006213933333333449,0.0010473033279056253,0.03521445745897557,2.0
0.72,0.2,0.090159456100188,0.11095364562392968,0.02079418952374168,0.036763968166896435,0.08000000000000003,0.050578532722800926,0.01381456455590449,0.0012144916666666644,0.0011460393196717053,0.0879138579976144,2.0
0.9,0.05,0.09147382973239032,0.10992248151913953,0.018448651786749204,0.030283185805231545,0.08,0.05007949880604231,0.019796313000810764,0.0019559766666666645,0.0008669064272941663,0.09880509903973315,2.0
0.9,0.1,0.09147382973239032,0.10992248151913953,0.018448651786749204,0.03220297189015369,0.08,0.05007949880604231,0.01787652691588862,0.0012237216666666773,0.0010665989602141237,0.06845410590236273,2.0
0.9,0.2,0.09147382973239032,0.10992248151913953,0.018448651786749204,0.03604254405999799,0.08,0.05007949880604231,0.01403695474604432,-0.00011366666666667163,0.0010979904406883264,-0.008097672801766596,2.0
0.0,0.05,0.16044740865059004,0.1998658876039595,0.039418478953369473,0.03601717711878141,0.07999999999999999,0.08236363636363504,0.043982822881218575,0.0,1.7991267463384316e-18,0.0,5.0
0.0,0.1,0.16044740865059004,0.1998658876039595,0.039418478953369473,0.037828877005347615,0.07999999999999999,0.08236363636363504,0.04217112299465237,0.0,1.7991267463384316e-18,0.0,5.0
0.0,0.2,0.16044740865059004,0.1998658876039595,0.039418478953369473,0.04145227677848002,0.07999999999999999,0.08236363636363504,0.03854772322151997,-3.170666666665878e-05,9.335425087530236e-05,-0.0008225302045584356,5.0
0.18,0.05,0.1615884382214213,0.1998009262126424,0.038212487991221095,0.03544464877695966,0.08,0.08202712379986618,0.04455535122304034,0.0,1.7991267463384316e-18,0.0,5.0
0.18,0.1,0.1615884382214213,0.1998009262126424,0.038212487991221095,0.03725603875537539,0.08,0.08202712379986618,0.04274396124462461,0.0,1.7991267463384316e-18,0.0,5.0
0.18,0.2,0.1615884382214213,0.1998009262126424,0.038212487991221095,0.040878818712206846,0.08,0.08202712379986618,0.039121181287793155,-0.00018564499999999817,0.00015261524846406376,-0.00474538329081398,5.0
0.36,0.05,0.16279340605396164,0.19960849965573596,0.03681509360177432,0.034854265617427056,0.08000000000000002,0.08167105778009676,0.04514573438257296,0.0,1.7991267463384316e-18,0.0,5.0
0.36,0.1,0.16279340605396164,0.19960849965573596,0.03681509360177432,0.03666593447582731,0.08000000000000002,0.08167105778009676,0.0433340655241727,0.0,1.7991267463384316e-18,0.0,5.0
0.36,0.2,0.16279340605396164,0.19960849965573596,0.03681509360177432,0.040289272192627845,0.08000000000000002,0.08167105778009676,0.03971072780737217,-0.0002832066666666605,0.0001899721599519645,-0.00713174203304539,5.0
0.54,0.05,0.16406782273410747,0.19928821159852445,0.035220388864416974,0.03424425854745473,0.07999999999999999,0.08129368304396019,0.04575574145254526,0.0,1.7991267463384316e-18,0.0,5.0
0.54,0.1,0.16406782273410747,0.19928821159852445,0.035220388864416974,0.03605684138006367,0.07999999999999999,0.08129368304396019,0.04394315861993632,0.0,1.7991267463384316e-18,0.0,5.0
0.54,0.2,0.16406782273410747,0.19928821159852445,0.035220388864416974,0.03968200704528157,0.07999999999999999,0.08129368304396019,0.04031799295471842,-0.00010277333333331973,6.686160286742834e-05,-0.0025490686862499725,5.0
0.72,0.05,0.16541784813168137,0.19883540170108455,0.03341755356940318,0.03361264258757581,0.08,0.08089302776431363,0.04638735741242419,0.0,1.7991267463384316e-18,0.0,5.0
0.72,0.1,0.16541784813168137,0.19883540170108455,0.03341755356940318,0.03542682660198915,0.08,0.08089302776431363,0.044573173398010854,0.0,1.7991267463384316e-18,0.0,5.0
0.72,0.2,0.16541784813168137,0.19883540170108455,0.03341755356940318,0.039055194630815804,0.08,0.08089302776431363,0.0409448053691842,4.292999999999658e-05,4.400022457607477e-05,0.0010484846517870244,5.0
0.9,0.05,0.1668503894207296,0.19824186622033513,0.03139147679960552,0.03295718247362379,0.08,0.08046686908376616,0.047042817526376214,0.0,1.7991267463384316e-18,0.0,5.0
0.9,0.1,0.1668503894207296,0.19824186622033513,0.03139147679960552,0.034773713720554975,0.08,0.08046686908376616,0.04522628627944503,0.0,1.7991267463384316e-18,0.0,5.0
0.9,0.2,0.1668503894207296,0.19824186622033513,0.03139147679960552,0.03840677621441736,0.08,0.08046686908376616,0.04159322378558264,-0.00021745666666667107,0.0001500958102824043,-0.0052281753342246955,5.0
0.0,0.05,0.23719297152695312,0.28558403976895136,0.048391068241998236,0.039682412358882986,0.07999999999999999,0.12616666666666906,0.040317587641117,0.0,1.7991267463384316e-18,0.0,10.0
0.0,0.1,0.23719297152695312,0.28558403976895136,0.048391068241998236,0.04134313725490201,0.07999999999999999,0.12616666666666906,0.03865686274509798,0.0,1.7991267463384316e-18,0.0,10.0
